Asset Type,Symbol,Name,Underlying Symbol,Last Trade,Last Trade Date,Last Trade Time,Change & Percent Change,Change,Open,Day's High,Day's Low,Volume,Ask,Average Daily Volume,Ask Size,52-week High,Change From 52-week High,Percent Change From 52-week Low,52-week Range,Bid,Bid Size,50-day Moving Average,Earnings/Share
E,SWHC,Smith & Wesson Holding Corporat,SWHC,-25.9,1/5/16,3:36pm,2.5075,2.62,25.59,26.54,25.01,13893855,25.9,1509530,200,26.54,-0.64,175.83,9.39 - 26.54,25.89,100,20.44,1.03
E,LPTH,LightPath Technologies Inc.,LPTH,3.15,1/5/16,3:36pm,0.0204,0.03,3.21,3.48,2.97,2444587,3.16,168457,200,3.48,-0.33,284.15,0.82 - 3.48,3.15,500,2.04,0.05
E,FSLR,First Solar Inc.,FSLR,71.87,1/5/16,3:36pm,5.0728,5.15,70.86,72.12,70.11,5567370,71.87,2162070,200,72.12,-0.25,83.44,39.18 - 72.12,71.85,200,60.02,5.67
E,MBTF,M B T Financial Corp,MBTF,7.06,1/5/16,3:35pm,0.1793,0.21,6.85,7.08,6.85,26353,7.06,17749,1200,7.08,-0.02,46.17,4.83 - 7.08,7.04,100,6.5,0.45
E,MMAC,MMA Capital Management LLC,MMAC,15.15,1/5/16,2:29pm,0.1027,0.11,15,15.71,15,14528,15.14,14444,200,15.71,-0.56,67.4,9.05 - 15.71,15.05,100,13.61,0.53
E,SHBI,Shore Bancshares Inc,SHBI,11.1,1/5/16,3:05pm,0.2722,0.3,10.97,11.1,10.87,17488,11.19,20929,300,11.1,0,30.43,8.51 - 11.10,11.08,1000,10.49,0.48
E,MJCO,Majesco Common Stock,MJCO,6.48,1/5/16,3:36pm,0.3425,0.41,6.13,6.74,6.13,30661,6.48,33162,1000,6.74,-0.26,53.92,4.21 - 6.74,6.4,100,5.49,0
E,WFD,Westfield Financial Inc.,WFD,8.56,1/5/16,3:31pm,0.0177,0.02,8.49,8.6,8.49,12290,8.59,25808,100,8.6,-0.04,21.25,7.06 - 8.60,8.55,100,8.05,0.34
E,PRTS,U.S. Auto Parts Network Inc.,PRTS,3.16,1/5/16,3:34pm,0.1067,0.16,3.03,3.25,3.03,101996,3.17,28800,300,3.34,-0.18,110.67,1.50 - 3.34,3.13,200,2.56,-0.1
E,GSI,General Steel Holdings Inc. Co,GSI,3.1457,1/5/16,3:35pm,0.259608,0.4091,2.41,4.91,2.2,7223244,3.17,69889,200,5.2,-2.0543,493.53,0.5300 - 5.2000,3.13,300,1.0409,-56.094
E,EARS,Auris Medical Holding AG,EARS,5.98,1/5/16,3:36pm,0.7228,0.9,5.28,6.34,5.19,2904003,6.01,138606,100,7.15,-1.17,98.01,3.02 - 7.15,5.98,200,3.63,-0.78
E,STRS,Stratus Properties Inc.,STRS,20.63,1/5/16,3:05pm,0.1522,0.16,20.59,21.5,19.42,10076,20.88,4741,100,21.5,-0.87,87.38,11.01 - 21.50,20.24,300,16.81,2.89
O,FSLR_012016C100,FSLR Jan 20 2016 100.0 Call,FSLR,0.33,1/5/16,3:05pm,0.1522,0.16,20.59,21.5,19.42,10076,20.88,4741,100,21.5,-0.87,87.38,11.01 - 21.50,20.24,300,16.81,2.89
E,AMRK,A-Mark Precious Metals Inc.,AMRK,19.7,1/5/16,3:36pm,0.5402,0.57,19.52,19.99,19.15,91195,19.73,25221,100,19.99,-0.29,105.64,9.58 - 19.99,19.7,100,16.7,1.6
E,FRAN,Francesca's Holdings Corporatio,FRAN,18.46,1/5/16,3:36pm,0.9051,0.96,17.65,18.56,16.92,892721,18.46,676962,100,18.56,-0.1,83.68,10.05 - 18.56,18.45,100,15.68,0.69
E,IESC,Integrated Electrical Services,IESC,11.77,1/5/16,3:31pm,0.2556,0.28,11.53,11.83,11.27,58138,11.75,22805,100,11.83,-0.06,87.42,6.28 - 11.83,11.71,100,8.75,0.77
O,FSLR_022016C100,FSLR Feb 20 2016 100.0 Call,FSLR,11.77,1/5/16,3:05pm,0.1522,0.16,20.59,21.5,19.42,10076,20.88,4741,100,21.5,-0.87,87.38,11.01 - 21.50,20.24,300,16.81,2.89
E,NJR,NewJersey Resources Corporation,NJR,33.94,1/5/16,3:36pm,1.1537,1.19,32.77,34.12,32.59,675223,33.98,399451,800,34.12,-0.18,26.78,26.77 - 34.12,33.97,300,30.62,2.1
E,CBNK,Chicopee Bancorp Inc.,CBNK,17.72,1/5/16,3:15pm,0.4145,0.44,17.35,17.75,17.25,39435,18,1678,100,18.19,-0.47,13.23,15.65 - 18.19,17.5,400,17.1,0.47
E,BXLT,Baxalta Incorporated Common Sto,BXLT,41.19,1/5/16,3:36pm,0.0195,0.02,41.02,41.35,40.52,5143329,41.23,3367730,300,41.35,-0.16,38.08,29.83 - 41.35,41.21,300,36.82,2.38
O,FSLR_012016P100,FSLR Jan 20 2016 100.0 Put,FSLR,11.77,1/5/16,3:05pm,0.1522,0.16,20.59,21.5,19.42,10076,20.88,4741,100,21.5,-0.87,87.38,11.01 - 21.50,20.24,300,16.81,2.89
E,LEI,Lucas Energy Inc. Common Stock,LEI,7.211,1/5/16,3:36pm,0.45151,0.531,7.33,8.3,6.81,2856441,7.25,329378,100,11.25,-4.039,442.18,1.330 - 11.250,7.21,9500,2.339,-3.098
E,LTC,LTC Properties Inc. Common Sto,LTC,44.74,1/5/16,3:36pm,1.7093,1.75,43.09,44.97,43.09,223565,44.76,193057,200,48.85,-4.11,15.79,38.64 - 48.85,44.75,100,42.11,2.04
E,CUBE,CubeSmart Common Shares,CUBE,31.34,1/5/16,3:36pm,1.025,1.06,30.37,31.46,30.33,1105473,31.34,1432890,1000,31.46,-0.12,41.87,22.09 - 31.46,31.33,800,29.68,0.23
O,FSLR_022016C105,FSLR Feb 20 2016 105.0 Call,FSLR,11.77,1/5/16,3:05pm,0.1522,0.16,20.59,21.5,19.42,10076,20.88,4741,100,21.5,-0.87,87.38,11.01 - 21.50,20.24,300,16.81,2.89
E,HR,Healthcare Realty Trust Incorpo,HR,28.72,1/5/16,3:36pm,0.7713,0.8,27.96,28.84,27.96,403228,28.75,804565,1100,31.2,-2.48,30.49,22.01 - 31.20,28.74,300,27.24,0.69
E,NLS,Nautilus Inc. Common Stock,NLS,20.25,1/5/16,3:36pm,1.6742,1.77,19.07,20.76,19.07,699293,20.33,225157,200,22.95,-2.7,46.53,13.82 - 22.95,20.28,200,18.03,0.85
E,GPP,Green Plains Partners LP,GPP,16,1/5/16,3:34pm,0.178,0.19,15.9,16.39,15.75,51155,16,86833,300,16.54,-0.54,46.52,10.92 - 16.54,15.91,100,14.08,0.4
E,ESIO,Electro Scientific Industries ,ESIO,5.44,1/5/16,3:35pm,-0.1314,-0.16,5.59,5.6,5.44,40828,5.44,88805,200,7.95,-2.51,33.01,4.09 - 7.95,5.43,200,5.12,-1.25
E,EXR,Extra Space Storage Inc Common ,EXR,90.63,1/5/16,3:36pm,2.778,2.81,87.81,90.79,87.81,658273,90.79,907811,300,90.79,-0.16,49.93,60.45 - 90.79,90.75,100,85.72,1.9
E,CHUY,Chuy's Holdings Inc.,CHUY,34.36,1/5/16,3:36pm,1.3478,1.39,33.3,34.91,33.18,838873,34.37,266583,200,35.76,-1.4,86.74,18.40 - 35.76,34.31,400,31.71,0.9
E,PFBI,Premier Financial Bancorp Inc.,PFBI,16.31,1/5/16,3:36pm,-0.0751,-0.08,16.42,16.45,16.18,12028,16.32,9695,100,16.88,-0.57,18.19,13.80 - 16.88,16.25,100,15.26,1.51
E,NAII,Natural Alternatives Internatio,NAII,10.53,1/5/16,3:33pm,0.0994,0.11,10.42,10.71,10.3,41351,10.54,30067,100,10.74,-0.21,109.76,5.02 - 10.74,10.43,100,8.43,0.6
E,ABR,Arbor Realty Trust Common Stock,ABR,7.2899,1/5/16,3:36pm,0.043008,0.0499,7.24,7.3499,7.17,127160,7.29,112640,3100,7.42,-0.1301,20.89,6.0300 - 7.4200,7.28,1000,6.8667,0.934
E,RGR,Sturm Ruger & Company Inc. Co,RGR,65.4,1/5/16,3:36pm,3.9447,4.01,63.95,66.93,63.95,1227895,65.65,200589,100,66.93,-1.53,86.48,35.07 - 66.93,65.53,100,56.23,1.56
E,BVX,Bovie Medical Corporation Commo,BVX,2.4,1/5/16,3:36pm,0,0,2.3,2.45,2.29,120528,2.39,78382,2900,4.01,-1.61,39.53,1.72 - 4.01,2.36,300,1.92,0.11
